domain1,mx1,provider1
@bankislami.com.pk,10 mail1.bankislami.com.pk. / 100 mail3.bankislami.com.pk. / 20 mail2.bankislami.com.pk.,Third Party
@bankislami.com.pk,10 mail1.bankislami.com.pk. / 100 mail3.bankislami.com.pk. / 20 mail2.bankislami.com.pk.,Third Party
@bankislami.com.pk,10 mail1.bankislami.com.pk. / 100 mail3.bankislami.com.pk. / 20 mail2.bankislami.com.pk.,Third Party
@bankislami.com.pk,10 mail1.bankislami.com.pk. / 100 mail3.bankislami.com.pk. / 20 mail2.bankislami.com.pk.,Third Party
@bok.com.pk,0 bok-com-pk.mail.protection.outlook.com.,Microsoft
@soneribank.com,2 soneribank.in.tmes-sg.trendmicro.com. / 45 smtp7.soneribank.com. / 5 smtp5.soneribank.com.,Third Party
@bop.com.pk,15 smtp1.bop.com.pk. / 25 smtp2.bop.com.pk. / 32767 ms27951232.msv1.invalid.,Third Party
@bayer.com,10 bayer-com.mail.protection.outlook.com.,Microsoft
@bayer.com,10 bayer-com.mail.protection.outlook.com.,Microsoft
@baysinternational.com,0 baysinternational-com.mail.protection.outlook.com.,Microsoft
@bbnenergy.com,0 host.techandaz.com.,Third Party
@bbnenergy.com,0 host.techandaz.com.,Third Party
@beenergy.co,0 beenergy-co.mail.protection.outlook.com.,Microsoft
@bbocompany.com,10 mx00.ionos.com. / 11 mx01.ionos.com.,Third Party
@dreamnet.com.pk,0 dreamnet-com-pk.mail.protection.outlook.com.,Microsoft
@bestway.com.pk,15 mail01.bestway.com.pk. / 10 besg01.bestway.com.pk.,Third Party
@bestway.com.pk,15 mail01.bestway.com.pk. / 10 besg01.bestway.com.pk.,Third Party
@bluearc.com.pk,0 mail.bluearc.com.pk.,Third Party
 ,,N/A
 ,,N/A
@brainchild.net,10 alt3.aspmx.l.google.com. / 10 alt4.aspmx.l.google.com. / 5 alt1.aspmx.l.google.com. / 5 alt2.aspmx.l.google.com. / 1 aspmx.l.google.com. / 0 brainchild-net.mail.protection.outlook.com.,Google
@jazz.com.pk,0 jazz-com-pk.mail.protection.outlook.com.,Microsoft
@brandh2o.com,10 alt4.aspmx.l.google.com. / 1 aspmx.l.google.com. / 10 alt3.aspmx.l.google.com. / 5 alt2.aspmx.l.google.com. / 5 alt1.aspmx.l.google.com.,Google
 ,,N/A
@bat.com,0 bat-com.mail.protection.outlook.com.,Microsoft
@fco.gov.uk,10 fco-gov-uk.mail.protection.outlook.com.,Microsoft
